Time,"Temp:Bigcore0_Thermal,0","Temp:Bigcore1_Thermal,0","Temp:Center_Thermal,0","Temp:Gpu_Thermal,0","Temp:Littlecore_Thermal,0","Temp:Npu_Thermal,0","Temp:Soc_Thermal,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7
2026-03-23_04:01:21,84.1,84.1,75.8,73.9,81.3,76.7,80.4,2008.0,1608.0,2208.0,2208.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:21,84.1,84.1,74.8,73.9,81.3,76.7,80.4,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:22,84.1,84.1,75.8,73.9,81.3,76.7,80.4,1944.0,1416.0,2208.0,2208.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:22,84.1,85.0,74.8,73.9,82.2,77.6,81.3,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:23,84.1,85.0,75.8,73.9,82.2,77.6,81.3,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:23,85.0,85.0,75.8,73.9,82.2,77.6,81.3,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:24,85.0,85.0,75.8,73.9,82.2,77.6,81.3,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:24,85.0,85.0,75.8,74.8,81.3,77.6,80.4,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:25,84.1,84.1,75.8,73.9,81.3,76.7,80.4,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:25,84.1,85.0,75.8,73.9,81.3,76.7,80.4,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:26,84.1,84.1,75.8,73.9,81.3,76.7,80.4,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:26,84.1,85.0,75.8,73.9,81.3,76.7,80.4,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:27,84.1,84.1,75.8,73.9,81.3,76.7,80.4,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:27,85.0,85.0,75.8,74.8,82.2,77.6,81.3,2136.0,1800.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:28,85.0,85.0,75.8,74.8,81.3,77.6,80.4,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:28,85.0,85.0,75.8,74.8,81.3,77.6,80.4,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:29,85.0,85.0,75.8,74.8,82.2,77.6,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:29,85.0,85.0,75.8,74.8,82.2,77.6,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:30,85.0,85.0,75.8,74.8,81.3,77.6,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:30,85.0,85.0,76.7,74.8,82.2,77.6,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:31,85.0,85.0,76.7,74.8,82.2,77.6,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:31,85.0,85.0,76.7,74.8,82.2,77.6,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:32,85.0,85.0,76.7,74.8,82.2,77.6,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:32,85.0,85.0,76.7,74.8,82.2,77.6,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:33,85.0,85.0,76.7,74.8,82.2,77.6,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:33,85.0,85.9,76.7,75.8,82.2,78.5,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:34,85.0,85.9,76.7,75.8,82.2,78.5,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:34,85.0,85.0,76.7,75.8,82.2,77.6,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:35,85.0,85.0,76.7,75.8,82.2,77.6,80.4,2008.0,1416.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:36,85.9,85.9,76.7,75.8,83.2,78.5,81.3,2072.0,1608.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:36,85.0,85.0,76.7,75.8,82.2,78.5,81.3,2008.0,1416.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:37,85.0,85.0,76.7,75.8,82.2,78.5,81.3,2056.0,1608.0,2352.0,2208.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:37,85.0,85.0,76.7,75.8,82.2,78.5,81.3,2008.0,1416.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:38,85.0,85.0,76.7,75.8,82.2,78.5,81.3,2008.0,1416.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:38,85.0,85.9,76.7,75.8,82.2,78.5,81.3,2008.0,1416.0,2352.0,2256.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2026-03-23_04:01:39,85.0,85.0,76.7,75.8,82.2,78.5,81.3,2056.0,1608.0,2352.0,2208.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
